First_Procedure_Code,amb_vac_prev_count,OPCS_L4_Code,OPCS_L4_Desc,OPCS_L3_Code,OPCS_L3_Desc,OPCS_L2_Code,OPCS_L2_Desc,OPCS_L1_Code,OPCS_L1_Desc,OPCS_Version,OPCS_Status
U548,805,U548,U548: Other specified rehabilitation for other disorders,U54,U54: Rehabilitation for other disorders,U50-U54,U50-U54: Rehabilitation,U,"U: Diagnostic Imaging, Testing and Rehabilitation",4.3,Live
U549,256,U549,U549: Unspecified rehabilitation for other disorders,U54,U54: Rehabilitation for other disorders,U50-U54,U50-U54: Rehabilitation,U,"U: Diagnostic Imaging, Testing and Rehabilitation",4.3,Live
W801,3,W801,W801: Open debridement and irrigation of joint,W80,W80: Debridement and irrigation of joint,W37-W99,W37-W99: Joint,W,W: Other Bones and Joints,4.3,Live
W803,10,W803,W803: Open irrigation of joint NEC,W80,W80: Debridement and irrigation of joint,W37-W99,W37-W99: Joint,W,W: Other Bones and Joints,4.3,Live
W813,6,W813,W813: Drainage of joint,W81,W81: Other open operations on joint,W37-W99,W37-W99: Joint,W,W: Other Bones and Joints,4.2,Live
W833,1,W833,W833: Endoscopic shaving of articular cartilage,W83,W83: Therapeutic endoscopic operations on other articular cartilage,W37-W99,W37-W99: Joint,W,W: Other Bones and Joints,4.2,Live
X721,11,X721,X721: Delivery of complex chemotherapy for neoplasm including prolonged infusional treatment at first attendance,X72,X72: Delivery of chemotherapy for neoplasm,X70-X98,X70-X98: Specified Drug therapy,X,X: Miscellaneous Operations,4.3,Live
X722,17,X722,X722: Delivery of complex parenteral chemotherapy for neoplasm at first attendance,X72,X72: Delivery of chemotherapy for neoplasm,X70-X98,X70-X98: Specified Drug therapy,X,X: Miscellaneous Operations,4.3,Live
X723,17,X723,X723: Delivery of simple parenteral chemotherapy for neoplasm at first attendance,X72,X72: Delivery of chemotherapy for neoplasm,X70-X98,X70-X98: Specified Drug therapy,X,X: Miscellaneous Operations,4.3,Live
X724,30,X724,X724: Delivery of subsequent element of cycle of chemotherapy for neoplasm,X72,X72: Delivery of chemotherapy for neoplasm,X70-X98,X70-X98: Specified Drug therapy,X,X: Miscellaneous Operations,4.3,Live
X729,18,X729,X729: Unspecified delivery of chemotherapy for neoplasm,X72,X72: Delivery of chemotherapy for neoplasm,X70-X98,X70-X98: Specified Drug therapy,X,X: Miscellaneous Operations,4.3,Live
X731,20,X731,X731: Delivery of exclusively oral chemotherapy for neoplasm,X73,X73: Delivery of oral chemotherapy for neoplasm,X70-X98,X70-X98: Specified Drug therapy,X,X: Miscellaneous Operations,4.3,Live
X741,2,X741,X741: Cancer hormonal treatment drugs Band 1,X74,X74: Other chemotherapy drugs,X70-X98,X70-X98: Specified Drug therapy,X,X: Miscellaneous Operations,4.7,Live
X821,9,X821,X821: Pulmonary arterial hypertension drugs Band 1,X82,X82: High cost hypertension drugs,X70-X98,X70-X98: Specified Drug therapy,X,X: Miscellaneous Operations,4.3,Live
X823,5,X823,X823: Pulmonary arterial hypertension drugs Band 3,X82,X82: High cost hypertension drugs,X70-X98,X70-X98: Specified Drug therapy,X,X: Miscellaneous Operations,4.3,Live
X824,1,X824,X824: Pulmonary arterial hypertension drugs Band 4,X82,X82: High cost hypertension drugs,X70-X98,X70-X98: Specified Drug therapy,X,X: Miscellaneous Operations,4.3,Live
X831,21,X831,X831: Blood products Band 1,X83,X83: High cost other cardiovascular drugs,X70-X98,X70-X98: Specified Drug therapy,X,X: Miscellaneous Operations,4.3,Live
X833,49,X833,X833: Fibrinolytic drugs Band 1,X83,X83: High cost other cardiovascular drugs,X70-X98,X70-X98: Specified Drug therapy,X,X: Miscellaneous Operations,4.3,Live
X841,2,X841,X841: Medical gases Band 1,X84,X84: High cost respiratory drugs,X70-X98,X70-X98: Specified Drug therapy,X,X: Miscellaneous Operations,4.3,Live
X843,3,X843,X843: Mucolytic drugs Band 1,X84,X84: High cost respiratory drugs,X70-X98,X70-X98: Specified Drug therapy,X,X: Miscellaneous Operations,4.5,Live
X851,7,X851,X851: Torsion dystonias and other involuntary movements drugs Band 1,X85,X85: High cost neurology drugs,X70-X98,X70-X98: Specified Drug therapy,X,X: Miscellaneous Operations,4.3,Live
S472,120,S472,S472: Drainage of lesion of skin NEC,S47,S47: Opening of skin,S01-S63,S01-S63: Skin or subcutaneous tissue,S,S: Skin,4.2,Live
S473,1,S473,S473: Incision of lesion of skin of head or neck,S47,S47: Opening of skin,S01-S63,S01-S63: Skin or subcutaneous tissue,S,S: Skin,4.2,Live
S474,3,S474,S474: Incision of lesion of skin NEC,S47,S47: Opening of skin,S01-S63,S01-S63: Skin or subcutaneous tissue,S,S: Skin,4.2,Live
S478,1,S478,S478: Other specified opening of skin,S47,S47: Opening of skin,S01-S63,S01-S63: Skin or subcutaneous tissue,S,S: Skin,4.2,Live
S525,1,S525,S525: Insertion of hormone into subcutaneous tissue,S52,S52: Introduction of therapeutic substance into subcutaneous tissue,S01-S63,S01-S63: Skin or subcutaneous tissue,S,S: Skin,4.3,Live
S531,1,S531,S531: Insertion of therapeutic substance into skin,S53,S53: Introduction of substance into skin,S01-S63,S01-S63: Skin or subcutaneous tissue,S,S: Skin,4.2,Live
S532,1,S532,S532: Injection of therapeutic substance into skin,S53,S53: Introduction of substance into skin,S01-S63,S01-S63: Skin or subcutaneous tissue,S,S: Skin,4.2,Live
T109,1,T109,T109: Unspecified therapeutic endoscopic operations on pleura,T10,T10: Therapeutic endoscopic operations on pleura,T01-T17,T01-T17: Chest wall pleura and diaphragm,T,T: Soft Tissue,4.2,Live
T111,5,T111,T111: Diagnostic endoscopic examination of pleura and biopsy of lesion of pleura,T11,T11: Diagnostic endoscopic examination of pleura,T01-T17,T01-T17: Chest wall pleura and diaphragm,T,T: Soft Tissue,4.2,Live
T121,186,T121,T121: Drainage of lesion of pleura NEC,T12,T12: Puncture of pleura,T01-T17,T01-T17: Chest wall pleura and diaphragm,T,T: Soft Tissue,4.2,Live
T122,1648,T122,T122: Drainage of pleural cavity NEC,T12,T12: Puncture of pleura,T01-T17,T01-T17: Chest wall pleura and diaphragm,T,T: Soft Tissue,4.2,Live
T123,4892,T123,T123: Aspiration of pleural cavity,T12,T12: Puncture of pleura,T01-T17,T01-T17: Chest wall pleura and diaphragm,T,T: Soft Tissue,4.2,Live
T124,3637,T124,T124: Insertion of tube drain into pleural cavity,T12,T12: Puncture of pleura,T01-T17,T01-T17: Chest wall pleura and diaphragm,T,T: Soft Tissue,4.2,Live
T125,95,T125,T125: Attention to tube drain into pleural cavity,T12,T12: Puncture of pleura,T01-T17,T01-T17: Chest wall pleura and diaphragm,T,T: Soft Tissue,4.7,Live
T126,30,T126,T126: Insertion of tunnelled catheter into pleural cavity,T12,T12: Puncture of pleura,T01-T17,T01-T17: Chest wall pleura and diaphragm,T,T: Soft Tissue,4.9,Live
T127,9,T127,T127: Attention to tunnelled catheter in pleural cavity,T12,T12: Puncture of pleura,T01-T17,T01-T17: Chest wall pleura and diaphragm,T,T: Soft Tissue,4.9,Live
T128,13,T128,T128: Other specified puncture of pleura,T12,T12: Puncture of pleura,T01-T17,T01-T17: Chest wall pleura and diaphragm,T,T: Soft Tissue,4.2,Live
T129,4,T129,T129: Unspecified puncture of pleura,T12,T12: Puncture of pleura,T01-T17,T01-T17: Chest wall pleura and diaphragm,T,T: Soft Tissue,4.2,Live
T131,6,T131,T131: Insufflation of talc into pleural cavity NEC,T13,T13: Introduction of substance into pleural cavity,T01-T17,T01-T17: Chest wall pleura and diaphragm,T,T: Soft Tissue,4.2,Live
T132,3,T132,T132: Introduction of sclerosing substance into pleural cavity NEC,T13,T13: Introduction of substance into pleural cavity,T01-T17,T01-T17: Chest wall pleura and diaphragm,T,T: Soft Tissue,4.2,Live
T134,11,T134,T134: Introduction of therapeutic substance into pleural cavity,T13,T13: Introduction of substance into pleural cavity,T01-T17,T01-T17: Chest wall pleura and diaphragm,T,T: Soft Tissue,4.2,Live
T141,14,T141,T141: Percutaneous biopsy of lesion of pleura,T14,T14: Other operations on pleura,T01-T17,T01-T17: Chest wall pleura and diaphragm,T,T: Soft Tissue,4.2,Live
T148,1,T148,T148: Other specified other operations on pleura,T14,T14: Other operations on pleura,T01-T17,T01-T17: Chest wall pleura and diaphragm,T,T: Soft Tissue,4.2,Live
T192,1,T192,T192: Unilateral herniotomy,T19,T19: Simple excision of inguinal hernial sac,"T19-T32, T97-T98","T19-T32, T97-T98: Abdominal wall",T,T: Soft Tissue,4.2,Live
T556,1,T556,T556: Release fasciotomy of leg NEC,T55,T55: Release of fascia,T50-T62,T50-T62: Fascia ganglion and bursa,T,T: Soft Tissue,4.2,Live
T962,1,T962,T962: Excision of lesion of soft tissue NEC,T96,T96: Other operations on soft tissue,T85-T96,T85-T96: Lymphatic tissue,T,T: Soft Tissue,4.2,Live
L133,34,L133,L133: Arteriography of pulmonary artery,L13,L13: Transluminal operations on pulmonary artery,L01-L13,L01-L13: Great vessels and pulmonary artery,L,L: Arteries and Veins,4.2,Live
L541,1,L541,L541: Percutaneous transluminal angioplasty of iliac artery,L54,L54: Transluminal operations on iliac artery,L48-L63,L48-L63: Iliac and femoral arteries,L,L: Arteries and Veins,4.2,Live
L543,2,L543,L543: Arteriography of iliac artery,L54,L54: Transluminal operations on iliac artery,L48-L63,L48-L63: Iliac and femoral arteries,L,L: Arteries and Veins,4.2,Live
L544,3,L544,L544: Percutaneous transluminal insertion of stent into iliac artery,L54,L54: Transluminal operations on iliac artery,L48-L63,L48-L63: Iliac and femoral arteries,L,L: Arteries and Veins,4.3,Live
L882,1,L882,L882: Radiofrequency ablation of varicose vein of leg,L88,L88: Transluminal operations on varicose vein of leg,L73-L99,L73-L99: Veins and other blood vessels,L,L: Arteries and Veins,4.3,Live
L911,22,L911,L911: Open insertion of central venous catheter,L91,L91: Other vein related operations,L73-L99,L73-L99: Veins and other blood vessels,L,L: Arteries and Veins,4.2,Live
L912,1373,L912,L912: Insertion of central venous catheter NEC,L91,L91: Other vein related operations,L73-L99,L73-L99: Veins and other blood vessels,L,L: Arteries and Veins,4.2,Live
L913,63,L913,L913: Attention to central venous catheter NEC,L91,L91: Other vein related operations,L73-L99,L73-L99: Veins and other blood vessels,L,L: Arteries and Veins,4.2,Live
L915,146,L915,L915: Insertion of tunnelled venous catheter,L91,L91: Other vein related operations,L73-L99,L73-L99: Veins and other blood vessels,L,L: Arteries and Veins,4.3,Live
L916,154,L916,L916: Cannulation of vein NEC,L91,L91: Other vein related operations,L73-L99,L73-L99: Veins and other blood vessels,L,L: Arteries and Veins,4.3,Live
L918,15,L918,L918: Other specified other vein related operations,L91,L91: Other vein related operations,L73-L99,L73-L99: Veins and other blood vessels,L,L: Arteries and Veins,4.2,Live
M272,1,M272,M272: Ureteroscopic fragmentation of calculus of ureter NEC,M27,M27: Therapeutic ureteroscopic operations on ureter,M18-M33,M18-M33: Ureter,M,M: Urinary,4.2,Live
M273,1,M273,M273: Ureteroscopic extraction of calculus of ureter,M27,M27: Therapeutic ureteroscopic operations on ureter,M18-M33,M18-M33: Ureter,M,M: Urinary,4.2,Live
M274,5,M274,M274: Ureteroscopic insertion of ureteric stent,M27,M27: Therapeutic ureteroscopic operations on ureter,M18-M33,M18-M33: Ureter,M,M: Urinary,4.3,Live
M278,1,M278,M278: Other specified therapeutic ureteroscopic operations on ureter,M27,M27: Therapeutic ureteroscopic operations on ureter,M18-M33,M18-M33: Ureter,M,M: Urinary,4.2,Live
M281,1,M281,M281: Code retired - refer to introduction,M28,M28: Other endoscopic removal of calculus from ureter,M18-M33,M18-M33: Ureter,M,M: Urinary,4.2,Live
M763,1,M763,M763: Optical urethrotomy,M76,M76: Therapeutic endoscopic operations on urethra,M72-M86,M72-M86: Urethra and other parts of urinary tract,M,M: Urinary,4.2,Live
M764,7,M764,M764: Endoscopic dilation of urethra,M76,M76: Therapeutic endoscopic operations on urethra,M72-M86,M72-M86: Urethra and other parts of urinary tract,M,M: Urinary,4.2,Live
M792,6,M792,M792: Dilation of urethra NEC,M79,M79: Other operations on urethra,M72-M86,M72-M86: Urethra and other parts of urinary tract,M,M: Urinary,4.2,Live
M814,4,M814,M814: Dilation of meatus of urethra,M81,M81: Operations on urethral orifice,M72-M86,M72-M86: Urethra and other parts of urinary tract,M,M: Urinary,4.2,Live
X404,326,X404,X404: Haemofiltration,X40,X40: Compensation for renal failure,X28-X69,X28-X69: Miscellaneous operations,X,X: Miscellaneous Operations,4.3,Live
R182,1,R182,R182: Lower uterine segment caesarean delivery NEC,R18,R18: Other caesarean delivery,R14-R27,R14-R27: Induction and delivery,R,"R: Female Genital Tract Associated with Pregnancy, Childbirth and the Puerperium",4.2,Live
S048,1,S048,S048: Other specified other excision of skin,S04,S04: Other excision of skin,S01-S63,S01-S63: Skin or subcutaneous tissue,S,S: Skin,4.2,Live
S062,7,S062,S062: Marsupialisation of lesion of skin NEC,S06,S06: Other excision of lesion of skin,S01-S63,S01-S63: Skin or subcutaneous tissue,S,S: Skin,4.2,Live
S065,8,S065,S065: Excision of lesion of skin of head or neck NEC,S06,S06: Other excision of lesion of skin,S01-S63,S01-S63: Skin or subcutaneous tissue,S,S: Skin,4.2,Live
T963,2,T963,T963: Debridement of soft tissue NEC,T96,T96: Other operations on soft tissue,T85-T96,T85-T96: Lymphatic tissue,T,T: Soft Tissue,4.3,Live
T964,4,T964,T964: Evacuation of seroma from soft tissue,T96,T96: Other operations on soft tissue,T85-T96,T85-T96: Lymphatic tissue,T,T: Soft Tissue,4.5,Live
T965,3,T965,T965: Aspiration of soft tissue NEC,T96,T96: Other operations on soft tissue,T85-T96,T85-T96: Lymphatic tissue,T,T: Soft Tissue,4.9,Live
T966,7,T966,T966: Biopsy of soft tissue NEC,T96,T96: Other operations on soft tissue,T85-T96,T85-T96: Lymphatic tissue,T,T: Soft Tissue,4.9,Live
T968,4,T968,T968: Other specified other operations on soft tissue,T96,T96: Other operations on soft tissue,T85-T96,T85-T96: Lymphatic tissue,T,T: Soft Tissue,4.2,Live
T982,1,T982,T982: Repair of recurrent ventral hernia using insert of prosthetic material,T98,T98: Repair of recurrent other hernia of abdominal wall,"T19-T32, T97-T98","T19-T32, T97-T98: Abdominal wall",T,T: Soft Tissue,4.6,Live
U011,50,U011,U011: Computed tomography of whole body,U01,U01: Diagnostic imaging of whole body,"U01-U21, U35-U37","U01-U21, U35-U37: Diagnostic Imaging",U,"U: Diagnostic Imaging, Testing and Rehabilitation",4.3,Live
U012,6,U012,U012: Magnetic resonance imaging of whole body,U01,U01: Diagnostic imaging of whole body,"U01-U21, U35-U37","U01-U21, U35-U37: Diagnostic Imaging",U,"U: Diagnostic Imaging, Testing and Rehabilitation",4.3,Live
U051,63016,U051,U051: Computed tomography of head,U05,U05: Diagnostic imaging of central nervous system,"U01-U21, U35-U37","U01-U21, U35-U37: Diagnostic Imaging",U,"U: Diagnostic Imaging, Testing and Rehabilitation",4.3,Live
U052,2072,U052,U052: Magnetic resonance imaging of head,U05,U05: Diagnostic imaging of central nervous system,"U01-U21, U35-U37","U01-U21, U35-U37: Diagnostic Imaging",U,"U: Diagnostic Imaging, Testing and Rehabilitation",4.3,Live
U053,2,U053,U053: Functional magnetic resonance imaging of head,U05,U05: Diagnostic imaging of central nervous system,"U01-U21, U35-U37","U01-U21, U35-U37: Diagnostic Imaging",U,"U: Diagnostic Imaging, Testing and Rehabilitation",4.3,Live
U054,354,U054,U054: Computed tomography of spine,U05,U05: Diagnostic imaging of central nervous system,"U01-U21, U35-U37","U01-U21, U35-U37: Diagnostic Imaging",U,"U: Diagnostic Imaging, Testing and Rehabilitation",4.3,Live
U055,425,U055,U055: Magnetic resonance imaging of spine,U05,U05: Diagnostic imaging of central nervous system,"U01-U21, U35-U37","U01-U21, U35-U37: Diagnostic Imaging",U,"U: Diagnostic Imaging, Testing and Rehabilitation",4.3,Live
U058,2,U058,U058: Other specified diagnostic imaging of central nervous system,U05,U05: Diagnostic imaging of central nervous system,"U01-U21, U35-U37","U01-U21, U35-U37: Diagnostic Imaging",U,"U: Diagnostic Imaging, Testing and Rehabilitation",4.3,Live
U268,1,U268,U268: Other specified diagnostic testing of genitourinary system,U26,U26: Diagnostic testing of genitourinary system,U22-U41,U22-U41: Diagnostic tests,U,"U: Diagnostic Imaging, Testing and Rehabilitation",4.3,Live
U288,1,U288,U288: Other specified other diagnostic tests on skin,U28,U28: Other diagnostic tests on skin,U22-U41,U22-U41: Diagnostic tests,U,"U: Diagnostic Imaging, Testing and Rehabilitation",4.3,Live
U293,1,U293,U293: Glucose tolerance test,U29,U29: Diagnostic endocrinology,U22-U41,U22-U41: Diagnostic tests,U,"U: Diagnostic Imaging, Testing and Rehabilitation",4.3,Live
U295,1,U295,U295: Adrenal suppression test,U29,U29: Diagnostic endocrinology,U22-U41,U22-U41: Diagnostic tests,U,"U: Diagnostic Imaging, Testing and Rehabilitation",4.3,Live
U297,31,U297,U297: Short synacthen test,U29,U29: Diagnostic endocrinology,U22-U41,U22-U41: Diagnostic tests,U,"U: Diagnostic Imaging, Testing and Rehabilitation",4.5,Live
U308,1,U308,U308: Other specified autonomic cardiovascular testing,U30,U30: Autonomic cardiovascular testing,U22-U41,U22-U41: Diagnostic tests,U,"U: Diagnostic Imaging, Testing and Rehabilitation",4.3,Live
U319,6,U319,U319: Unspecified pacemaker testing,U31,U31: Pacemaker testing,U22-U41,U22-U41: Diagnostic tests,U,"U: Diagnostic Imaging, Testing and Rehabilitation",4.3,Live
U321,6,U321,U321: Human Immunodeficiency Virus blood test,U32,U32: Diagnostic blood tests,U22-U41,U22-U41: Diagnostic tests,U,"U: Diagnostic Imaging, Testing and Rehabilitation",4.3,Live
U328,11,U328,U328: Other specified diagnostic blood tests,U32,U32: Diagnostic blood tests,U22-U41,U22-U41: Diagnostic tests,U,"U: Diagnostic Imaging, Testing and Rehabilitation",4.3,Live
S066,1,S066,S066: Re-excision of skin margins of head or neck,S06,S06: Other excision of lesion of skin,S01-S63,S01-S63: Skin or subcutaneous tissue,S,S: Skin,4.6,Live
S067,3,S067,S067: Re-excision of skin margins NEC,S06,S06: Other excision of lesion of skin,S01-S63,S01-S63: Skin or subcutaneous tissue,S,S: Skin,4.6,Live
S068,1,S068,S068: Other specified other excision of lesion of skin,S06,S06: Other excision of lesion of skin,S01-S63,S01-S63: Skin or subcutaneous tissue,S,S: Skin,4.2,Live
S069,11,S069,S069: Unspecified other excision of lesion of skin,S06,S06: Other excision of lesion of skin,S01-S63,S01-S63: Skin or subcutaneous tissue,S,S: Skin,4.2,Live
S081,1,S081,S081: Curettage and cauterisation of lesion of skin of head or neck,S08,S08: Curettage of lesion of skin,S01-S63,S01-S63: Skin or subcutaneous tissue,S,S: Skin,4.2,Live
S082,1,S082,S082: Curettage and cauterisation of lesion of skin NEC,S08,S08: Curettage of lesion of skin,S01-S63,S01-S63: Skin or subcutaneous tissue,S,S: Skin,4.2,Live
S083,1,S083,S083: Curettage of lesion of skin of head or neck NEC,S08,S08: Curettage of lesion of skin,S01-S63,S01-S63: Skin or subcutaneous tissue,S,S: Skin,4.2,Live
S088,2,S088,S088: Other specified curettage of lesion of skin,S08,S08: Curettage of lesion of skin,S01-S63,S01-S63: Skin or subcutaneous tissue,S,S: Skin,4.2,Live
S352,2,S352,S352: Meshed split autograft of skin NEC,S35,S35: Split autograft of skin,S01-S63,S01-S63: Skin or subcutaneous tissue,S,S: Skin,4.2,Live
S358,1,S358,S358: Other specified split autograft of skin,S35,S35: Split autograft of skin,S01-S63,S01-S63: Skin or subcutaneous tissue,S,S: Skin,4.2,Live
S608,3,S608,S608: Other specified other operations on skin,S60,S60: Other operations on skin,S01-S63,S01-S63: Skin or subcutaneous tissue,S,S: Skin,4.2,Live
S661,1,S661,S661: Biopsy of lesion of nail bed,S66,S66: Other operations on nail bed,S64-S70,S64-S70: Nail,S,S: Skin,4.2,Live
S668,1,S668,S668: Other specified other operations on nail bed,S66,S66: Other operations on nail bed,S64-S70,S64-S70: Nail,S,S: Skin,4.2,Live
S681,1,S681,S681: Total excision of nail,S68,S68: Excision of nail,S64-S70,S64-S70: Nail,S,S: Skin,4.2,Live
S688,1,S688,S688: Other specified excision of nail,S68,S68: Excision of nail,S64-S70,S64-S70: Nail,S,S: Skin,4.2,Live
S701,1,S701,S701: Avulsion of nail,S70,S70: Other operations on nail,S64-S70,S64-S70: Nail,S,S: Skin,4.2,Live
S708,1,S708,S708: Other specified other operations on nail,S70,S70: Other operations on nail,S64-S70,S64-S70: Nail,S,S: Skin,4.2,Live
T013,1,T013,T013: Excision of lesion of chest wall,T01,T01: Partial excision of chest wall,T01-T17,T01-T17: Chest wall pleura and diaphragm,T,T: Soft Tissue,4.2,Live
T423,3,T423,T423: Endoscopic division of adhesions of peritoneum,T42,T42: Therapeutic endoscopic operations on peritoneum,T33-T48,T33-T48: Peritoneum,T,T: Soft Tissue,4.2,Live
T431,1,T431,T431: Diagnostic endoscopic examination of peritoneum and biopsy of lesion of peritoneum,T43,T43: Diagnostic endoscopic examination of peritoneum,T33-T48,T33-T48: Peritoneum,T,T: Soft Tissue,4.2,Live
T439,9,T439,T439: Unspecified diagnostic endoscopic examination of peritoneum,T43,T43: Diagnostic endoscopic examination of peritoneum,T33-T48,T33-T48: Peritoneum,T,T: Soft Tissue,4.2,Live
T451,3,T451,T451: Image controlled percutaneous drainage of subphrenic abscess,T45,T45: Image controlled operations on abdominal cavity,T33-T48,T33-T48: Peritoneum,T,T: Soft Tissue,4.2,Live
T452,1,T452,T452: Image controlled percutaneous drainage of pelvic abscess,T45,T45: Image controlled operations on abdominal cavity,T33-T48,T33-T48: Peritoneum,T,T: Soft Tissue,4.2,Live
T453,12,T453,T453: Image controlled percutaneous drainage of abdominal abscess NEC,T45,T45: Image controlled operations on abdominal cavity,T33-T48,T33-T48: Peritoneum,T,T: Soft Tissue,4.2,Live
T454,11,T454,T454: Image controlled percutaneous drainage of lesion of abdominal cavity NEC,T45,T45: Image controlled operations on abdominal cavity,T33-T48,T33-T48: Peritoneum,T,T: Soft Tissue,4.5,Live
T458,3,T458,T458: Other specified image controlled operations on abdominal cavity,T45,T45: Image controlled operations on abdominal cavity,T33-T48,T33-T48: Peritoneum,T,T: Soft Tissue,4.2,Live
V194,1,V194,V194: Biopsy of lesion of mandible,V19,V19: Other operations on mandible,V01-V21,"V01-V21: Bones and joints of cranium, face and jaw",V,V: Bones and Joints of Skull and Spine,4.2,Live
V195,10,V195,V195: Manipulation of mandible NEC,V19,V19: Other operations on mandible,V01-V21,"V01-V21: Bones and joints of cranium, face and jaw",V,V: Bones and Joints of Skull and Spine,4.2,Live
V212,6,V212,V212: Reduction of dislocation of temporomandibular joint,V21,V21: Other operations on temporomandibular joint,V01-V21,"V01-V21: Bones and joints of cranium, face and jaw",V,V: Bones and Joints of Skull and Spine,4.2,Live
V226,1,V226,V226: Primary decompression of posterior fossa and upper cervical spinal cord NEC,V22,V22: Primary decompression operations on cervical spine,V22-V70,V22-V70: Bones and joints of spine,V,V: Bones and Joints of Skull and Spine,4.3,Live
V472,3,V472,V472: Biopsy of thoracic vertebra,V47,V47: Biopsy of spine,V22-V70,V22-V70: Bones and joints of spine,V,V: Bones and Joints of Skull and Spine,4.2,Live
V473,1,V473,V473: Biopsy of lumbar vertebra,V47,V47: Biopsy of spine,V22-V70,V22-V70: Bones and joints of spine,V,V: Bones and Joints of Skull and Spine,4.2,Live
V542,1,V542,V542: Graft of bone to spine NEC,V54,V54: Other operations on spine,V22-V70,V22-V70: Bones and joints of spine,V,V: Bones and Joints of Skull and Spine,4.2,Live
W191,24,W191,W191: Primary open reduction of fracture of neck of femur and open fixation using pin and plate,W19,W19: Primary open reduction of fracture of bone and intramedullary fixation,W05-W36,W05-W36: Bone,W,W: Other Bones and Joints,4.2,Live
W192,27,W192,W192: Primary open reduction of fracture of long bone and fixation using rigid nail NEC,W19,W19: Primary open reduction of fracture of bone and intramedullary fixation,W05-W36,W05-W36: Bone,W,W: Other Bones and Joints,4.2,Live
W198,5,W198,W198: Other specified primary open reduction of fracture of bone and intramedullary fixation,W19,W19: Primary open reduction of fracture of bone and intramedullary fixation,W05-W36,W05-W36: Bone,W,W: Other Bones and Joints,4.2,Live
W201,18,W201,W201: Primary open reduction of fracture of long bone and extramedullary fixation using plate NEC,W20,W20: Primary open reduction of fracture of bone and extramedullary fixation,W05-W36,W05-W36: Bone,W,W: Other Bones and Joints,4.2,Live
W202,1,W202,W202: Primary open reduction of fracture of long bone and extramedullary fixation using cerclage,W20,W20: Primary open reduction of fracture of bone and extramedullary fixation,W05-W36,W05-W36: Bone,W,W: Other Bones and Joints,4.2,Live
W205,1,W205,W205: Primary open reduction of fracture of ankle and extramedullary fixation NEC,W20,W20: Primary open reduction of fracture of bone and extramedullary fixation,W05-W36,W05-W36: Bone,W,W: Other Bones and Joints,4.2,Live
W208,2,W208,W208: Other specified primary open reduction of fracture of bone and extramedullary fixation,W20,W20: Primary open reduction of fracture of bone and extramedullary fixation,W05-W36,W05-W36: Bone,W,W: Other Bones and Joints,4.2,Live
W403,1,W403,W403: Revision of total prosthetic replacement of knee joint using cement,W40,W40: Total prosthetic replacement of knee joint using cement,W37-W99,W37-W99: Joint,W,W: Other Bones and Joints,4.2,Live
W424,1,W424,W424: Attention to total prosthetic replacement of knee joint NEC,W42,W42: Other total prosthetic replacement of knee joint,W37-W99,W37-W99: Joint,W,W: Other Bones and Joints,4.2,Live
W425,1,W425,W425: Revision of one component of total prosthetic replacement of knee joint NEC,W42,W42: Other total prosthetic replacement of knee joint,W37-W99,W37-W99: Joint,W,W: Other Bones and Joints,4.3,Live
W654,1,W654,W654: Primary open reduction of fracture dislocation of joint and internal fixation NEC,W65,W65: Primary open reduction of traumatic dislocation of joint,W37-W99,W37-W99: Joint,W,W: Other Bones and Joints,4.3,Live
W662,1,W662,W662: Primary closed reduction of traumatic dislocation of joint and skeletal traction NEC,W66,W66: Primary closed reduction of traumatic dislocation of joint,W37-W99,W37-W99: Joint,W,W: Other Bones and Joints,4.2,Live
W663,15,W663,W663: Primary manipulative closed reduction of fracture dislocation of joint NEC,W66,W66: Primary closed reduction of traumatic dislocation of joint,W37-W99,W37-W99: Joint,W,W: Other Bones and Joints,4.2,Live
W668,1,W668,W668: Other specified primary closed reduction of traumatic dislocation of joint,W66,W66: Primary closed reduction of traumatic dislocation of joint,W37-W99,W37-W99: Joint,W,W: Other Bones and Joints,4.2,Live
T461,52,T461,T461: Paracentesis abdominis for ascites,T46,T46: Other drainage of peritoneal cavity,T33-T48,T33-T48: Peritoneum,T,T: Soft Tissue,4.2,Live
T462,669,T462,T462: Drainage of ascites NEC,T46,T46: Other drainage of peritoneal cavity,T33-T48,T33-T48: Peritoneum,T,T: Soft Tissue,4.2,Live
T463,4,T463,T463: Irrigation of peritoneal cavity,T46,T46: Other drainage of peritoneal cavity,T33-T48,T33-T48: Peritoneum,T,T: Soft Tissue,4.2,Live
T468,5,T468,T468: Other specified other drainage of peritoneal cavity,T46,T46: Other drainage of peritoneal cavity,T33-T48,T33-T48: Peritoneum,T,T: Soft Tissue,4.2,Live
T469,2,T469,T469: Unspecified other drainage of peritoneal cavity,T46,T46: Other drainage of peritoneal cavity,T33-T48,T33-T48: Peritoneum,T,T: Soft Tissue,4.2,Live
U113,7,U113,U113: Vascular ultrasound NEC,U11,U11: Diagnostic imaging of vascular system,"U01-U21, U35-U37","U01-U21, U35-U37: Diagnostic Imaging",U,"U: Diagnostic Imaging, Testing and Rehabilitation",4.3,Live
U114,99,U114,U114: Computed tomography scan of cerebral vessels,U11,U11: Diagnostic imaging of vascular system,"U01-U21, U35-U37","U01-U21, U35-U37: Diagnostic Imaging",U,"U: Diagnostic Imaging, Testing and Rehabilitation",4.3,Live
