Spell_Primary_Diagnosis,emergency_elderly_count,ICD10_L4_Code,ICD10_L4_Desc,ICD10_L3_Code,ICD10_L3_Desc,ICD10_L2_Code,ICD10_L2_Desc,ICD10_L1_Code,ICD10_L1_Desc,ICD10_Chapter_No,ICD10_Chapter_Code,ICD10_Chapter_Desc,ICD10_Usage,ICD10_Version,ICD10_Status,ICD10_Valid_From,ICD10_Valid_To
A609,1,A609,"A609: Anogenital herpesviral infection, unspecified",A50-A64,A50-A64: Infections with a predominantly sexual mode of transmission,A50-A64,A50-A64: Infections with a predominantly sexual mode of transmission,A50-A64,A50-A64: Infections with a predominantly sexual mode of transmission,1,I,I: Certain infectious and parasitic diseases,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
A630,14,A630,A630: Anogenital (venereal) warts,A50-A64,A50-A64: Infections with a predominantly sexual mode of transmission,A50-A64,A50-A64: Infections with a predominantly sexual mode of transmission,A50-A64,A50-A64: Infections with a predominantly sexual mode of transmission,1,I,I: Certain infectious and parasitic diseases,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
A64X,1,A64X,A64X: Unspecified sexually transmitted disease,A50-A64,A50-A64: Infections with a predominantly sexual mode of transmission,A50-A64,A50-A64: Infections with a predominantly sexual mode of transmission,A50-A64,A50-A64: Infections with a predominantly sexual mode of transmission,1,I,I: Certain infectious and parasitic diseases,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
H022,18,H022,H022: Lagophthalmos,H00-H06,"H00-H06: Disorders of eyelid, lacrimal system and orbit",H00-H06,"H00-H06: Disorders of eyelid, lacrimal system and orbit",H00-H06,"H00-H06: Disorders of eyelid, lacrimal system and orbit",7,VII,VII: Diseases of the eye and adnexa,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
H023,6,H023,H023: Blepharochalasis,H00-H06,"H00-H06: Disorders of eyelid, lacrimal system and orbit",H00-H06,"H00-H06: Disorders of eyelid, lacrimal system and orbit",H00-H06,"H00-H06: Disorders of eyelid, lacrimal system and orbit",7,VII,VII: Diseases of the eye and adnexa,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
H024,389,H024,H024: Ptosis of eyelid,H00-H06,"H00-H06: Disorders of eyelid, lacrimal system and orbit",H00-H06,"H00-H06: Disorders of eyelid, lacrimal system and orbit",H00-H06,"H00-H06: Disorders of eyelid, lacrimal system and orbit",7,VII,VII: Diseases of the eye and adnexa,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
H025,5,H025,H025: Other disorders affecting eyelid function,H00-H06,"H00-H06: Disorders of eyelid, lacrimal system and orbit",H00-H06,"H00-H06: Disorders of eyelid, lacrimal system and orbit",H00-H06,"H00-H06: Disorders of eyelid, lacrimal system and orbit",7,VII,VII: Diseases of the eye and adnexa,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
H027,2,H027,H027: Other degenerative disorders of eyelid and periocular area,H00-H06,"H00-H06: Disorders of eyelid, lacrimal system and orbit",H00-H06,"H00-H06: Disorders of eyelid, lacrimal system and orbit",H00-H06,"H00-H06: Disorders of eyelid, lacrimal system and orbit",7,VII,VII: Diseases of the eye and adnexa,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
H028,97,H028,H028: Other specified disorders of eyelid,H00-H06,"H00-H06: Disorders of eyelid, lacrimal system and orbit",H00-H06,"H00-H06: Disorders of eyelid, lacrimal system and orbit",H00-H06,"H00-H06: Disorders of eyelid, lacrimal system and orbit",7,VII,VII: Diseases of the eye and adnexa,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
H029,37,H029,"H029: Disorder of eyelid, unspecified",H00-H06,"H00-H06: Disorders of eyelid, lacrimal system and orbit",H00-H06,"H00-H06: Disorders of eyelid, lacrimal system and orbit",H00-H06,"H00-H06: Disorders of eyelid, lacrimal system and orbit",7,VII,VII: Diseases of the eye and adnexa,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
H030,1,H030,H030: Parasitic infestation of eyelid in diseases classified elsewhere,H00-H06,"H00-H06: Disorders of eyelid, lacrimal system and orbit",H00-H06,"H00-H06: Disorders of eyelid, lacrimal system and orbit",H00-H06,"H00-H06: Disorders of eyelid, lacrimal system and orbit",7,VII,VII: Diseases of the eye and adnexa,Asterisk,ICD10 5th Edition,Live,2016-04-01 00:00:00,
H031,12,H031,H031: Involvement of eyelid in other infectious diseases classified elsewhere,H00-H06,"H00-H06: Disorders of eyelid, lacrimal system and orbit",H00-H06,"H00-H06: Disorders of eyelid, lacrimal system and orbit",H00-H06,"H00-H06: Disorders of eyelid, lacrimal system and orbit",7,VII,VII: Diseases of the eye and adnexa,Asterisk,ICD10 5th Edition,Live,2016-04-01 00:00:00,
H040,13,H040,H040: Dacryoadenitis,H00-H06,"H00-H06: Disorders of eyelid, lacrimal system and orbit",H00-H06,"H00-H06: Disorders of eyelid, lacrimal system and orbit",H00-H06,"H00-H06: Disorders of eyelid, lacrimal system and orbit",7,VII,VII: Diseases of the eye and adnexa,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M7997,44,M7997,"M7997: Soft tissue disorder, unspecified: Ankle and foot",M70-M79,M70-M79: Other soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M7998,48,M7998,"M7998: Soft tissue disorder, unspecified: Other",M70-M79,M70-M79: Other soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M7999,11,M7999,"M7999: Soft tissue disorder, unspecified: Site unspecified",M70-M79,M70-M79: Other soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J860,274,J860,J860: Pyothorax with fistula,J85-J86,J85-J86: Suppurative and necrotic conditions of lower respiratory tract,J85-J86,J85-J86: Suppurative and necrotic conditions of lower respiratory tract,J85-J86,J85-J86: Suppurative and necrotic conditions of lower respiratory tract,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J869,4248,J869,J869: Pyothorax without fistula,J85-J86,J85-J86: Suppurative and necrotic conditions of lower respiratory tract,J85-J86,J85-J86: Suppurative and necrotic conditions of lower respiratory tract,J85-J86,J85-J86: Suppurative and necrotic conditions of lower respiratory tract,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J90X,44390,J90X,"J90X: Pleural effusion, not elsewhere classified",J90-J94,J90-J94: Other diseases of pleura,J90-J94,J90-J94: Other diseases of pleura,J90-J94,J90-J94: Other diseases of pleura,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J91X,1398,J91X,J91X: Pleural effusion in conditions classified elsewhere,J90-J94,J90-J94: Other diseases of pleura,J90-J94,J90-J94: Other diseases of pleura,J90-J94,J90-J94: Other diseases of pleura,10,X,X: Diseases of the respiratory system,Asterisk,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J920,403,J920,J920: Pleural plaque with presence of asbestos,J90-J94,J90-J94: Other diseases of pleura,J90-J94,J90-J94: Other diseases of pleura,J90-J94,J90-J94: Other diseases of pleura,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J929,215,J929,J929: Pleural plaque without asbestos,J90-J94,J90-J94: Other diseases of pleura,J90-J94,J90-J94: Other diseases of pleura,J90-J94,J90-J94: Other diseases of pleura,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J930,475,J930,J930: Spontaneous tension pneumothorax,J90-J94,J90-J94: Other diseases of pleura,J90-J94,J90-J94: Other diseases of pleura,J90-J94,J90-J94: Other diseases of pleura,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J931,2684,J931,J931: Other spontaneous pneumothorax,J90-J94,J90-J94: Other diseases of pleura,J90-J94,J90-J94: Other diseases of pleura,J90-J94,J90-J94: Other diseases of pleura,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
A662,1,A662,A662: Other early skin lesions of yaws,A65-A69,A65-A69: Other spirochaetal diseases,A65-A69,A65-A69: Other spirochaetal diseases,A65-A69,A65-A69: Other spirochaetal diseases,1,I,I: Certain infectious and parasitic diseases,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
A689,1,A689,"A689: Relapsing fever, unspecified",A65-A69,A65-A69: Other spirochaetal diseases,A65-A69,A65-A69: Other spirochaetal diseases,A65-A69,A65-A69: Other spirochaetal diseases,1,I,I: Certain infectious and parasitic diseases,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
A691,7,A691,A691: Other Vincent's infections,A65-A69,A65-A69: Other spirochaetal diseases,A65-A69,A65-A69: Other spirochaetal diseases,A65-A69,A65-A69: Other spirochaetal diseases,1,I,I: Certain infectious and parasitic diseases,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
A692,62,A692,A692: Lyme disease,A65-A69,A65-A69: Other spirochaetal diseases,A65-A69,A65-A69: Other spirochaetal diseases,A65-A69,A65-A69: Other spirochaetal diseases,1,I,I: Certain infectious and parasitic diseases,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
A699,1,A699,"A699: Spirochaetal infection, unspecified",A65-A69,A65-A69: Other spirochaetal diseases,A65-A69,A65-A69: Other spirochaetal diseases,A65-A69,A65-A69: Other spirochaetal diseases,1,I,I: Certain infectious and parasitic diseases,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
A70X,1,A70X,A70X: Chlamydia psittaci infection,A70-A74,A70-A74: Other diseases caused by chlamydiae,A70-A74,A70-A74: Other diseases caused by chlamydiae,A70-A74,A70-A74: Other diseases caused by chlamydiae,1,I,I: Certain infectious and parasitic diseases,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
D808,2,D808,D808: Other immunodeficiencies with predominantly antibody defects,D80-D89,D80-D89: Certain disorders involving the immune mechanism,D80-D89,D80-D89: Certain disorders involving the immune mechanism,D80-D89,D80-D89: Certain disorders involving the immune mechanism,3,III,III: Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
D820,1,D820,D820: Wiskott-Aldrich syndrome,D80-D89,D80-D89: Certain disorders involving the immune mechanism,D80-D89,D80-D89: Certain disorders involving the immune mechanism,D80-D89,D80-D89: Certain disorders involving the immune mechanism,3,III,III: Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
D821,12,D821,D821: Di George's syndrome,D80-D89,D80-D89: Certain disorders involving the immune mechanism,D80-D89,D80-D89: Certain disorders involving the immune mechanism,D80-D89,D80-D89: Certain disorders involving the immune mechanism,3,III,III: Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
D823,12,D823,D823: Immunodeficiency following hereditary defective response to Epstein-Barr virus,D80-D89,D80-D89: Certain disorders involving the immune mechanism,D80-D89,D80-D89: Certain disorders involving the immune mechanism,D80-D89,D80-D89: Certain disorders involving the immune mechanism,3,III,III: Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
G600,70,G600,G600: Hereditary motor and sensory neuropathy,G60-G64,G60-G64: Polyneuropathies and other disorders of the peripheral nervous system,G60-G64,G60-G64: Polyneuropathies and other disorders of the peripheral nervous system,G60-G64,G60-G64: Polyneuropathies and other disorders of the peripheral nervous system,6,VI,VI: Diseases of the nervous system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
G602,11,G602,G602: Neuropathy in association with hereditary ataxia,G60-G64,G60-G64: Polyneuropathies and other disorders of the peripheral nervous system,G60-G64,G60-G64: Polyneuropathies and other disorders of the peripheral nervous system,G60-G64,G60-G64: Polyneuropathies and other disorders of the peripheral nervous system,6,VI,VI: Diseases of the nervous system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
G603,6,G603,G603: Idiopathic progressive neuropathy,G60-G64,G60-G64: Polyneuropathies and other disorders of the peripheral nervous system,G60-G64,G60-G64: Polyneuropathies and other disorders of the peripheral nervous system,G60-G64,G60-G64: Polyneuropathies and other disorders of the peripheral nervous system,6,VI,VI: Diseases of the nervous system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
G608,101,G608,G608: Other hereditary and idiopathic neuropathies,G60-G64,G60-G64: Polyneuropathies and other disorders of the peripheral nervous system,G60-G64,G60-G64: Polyneuropathies and other disorders of the peripheral nervous system,G60-G64,G60-G64: Polyneuropathies and other disorders of the peripheral nervous system,6,VI,VI: Diseases of the nervous system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
G609,13,G609,"G609: Hereditary and idiopathic neuropathy, unspecified",G60-G64,G60-G64: Polyneuropathies and other disorders of the peripheral nervous system,G60-G64,G60-G64: Polyneuropathies and other disorders of the peripheral nervous system,G60-G64,G60-G64: Polyneuropathies and other disorders of the peripheral nervous system,6,VI,VI: Diseases of the nervous system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
G610,750,G610,G610: Guillain-Barré syndrome,G60-G64,G60-G64: Polyneuropathies and other disorders of the peripheral nervous system,G60-G64,G60-G64: Polyneuropathies and other disorders of the peripheral nervous system,G60-G64,G60-G64: Polyneuropathies and other disorders of the peripheral nervous system,6,VI,VI: Diseases of the nervous system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
G618,338,G618,G618: Other inflammatory polyneuropathies,G60-G64,G60-G64: Polyneuropathies and other disorders of the peripheral nervous system,G60-G64,G60-G64: Polyneuropathies and other disorders of the peripheral nervous system,G60-G64,G60-G64: Polyneuropathies and other disorders of the peripheral nervous system,6,VI,VI: Diseases of the nervous system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
G619,19,G619,"G619: Inflammatory polyneuropathy, unspecified",G60-G64,G60-G64: Polyneuropathies and other disorders of the peripheral nervous system,G60-G64,G60-G64: Polyneuropathies and other disorders of the peripheral nervous system,G60-G64,G60-G64: Polyneuropathies and other disorders of the peripheral nervous system,6,VI,VI: Diseases of the nervous system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
G620,101,G620,G620: Drug-induced polyneuropathy,G60-G64,G60-G64: Polyneuropathies and other disorders of the peripheral nervous system,G60-G64,G60-G64: Polyneuropathies and other disorders of the peripheral nervous system,G60-G64,G60-G64: Polyneuropathies and other disorders of the peripheral nervous system,6,VI,VI: Diseases of the nervous system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J938,828,J938,J938: Other pneumothorax,J90-J94,J90-J94: Other diseases of pleura,J90-J94,J90-J94: Other diseases of pleura,J90-J94,J90-J94: Other diseases of pleura,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J939,4240,J939,"J939: Pneumothorax, unspecified",J90-J94,J90-J94: Other diseases of pleura,J90-J94,J90-J94: Other diseases of pleura,J90-J94,J90-J94: Other diseases of pleura,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J940,37,J940,J940: Chylous effusion,J90-J94,J90-J94: Other diseases of pleura,J90-J94,J90-J94: Other diseases of pleura,J90-J94,J90-J94: Other diseases of pleura,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J941,16,J941,J941: Fibrothorax,J90-J94,J90-J94: Other diseases of pleura,J90-J94,J90-J94: Other diseases of pleura,J90-J94,J90-J94: Other diseases of pleura,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J942,754,J942,J942: Haemothorax,J90-J94,J90-J94: Other diseases of pleura,J90-J94,J90-J94: Other diseases of pleura,J90-J94,J90-J94: Other diseases of pleura,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J948,1172,J948,J948: Other specified pleural conditions,J90-J94,J90-J94: Other diseases of pleura,J90-J94,J90-J94: Other diseases of pleura,J90-J94,J90-J94: Other diseases of pleura,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J949,26,J949,"J949: Pleural condition, unspecified",J90-J94,J90-J94: Other diseases of pleura,J90-J94,J90-J94: Other diseases of pleura,J90-J94,J90-J94: Other diseases of pleura,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J950,623,J950,J950: Tracheostomy malfunction,J95-J99,J95-J99: Other diseases of the respiratory system,J95-J99,J95-J99: Other diseases of the respiratory system,J95-J99,J95-J99: Other diseases of the respiratory system,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J951,1,J951,J951: Acute pulmonary insufficiency following thoracic surgery,J95-J99,J95-J99: Other diseases of the respiratory system,J95-J99,J95-J99: Other diseases of the respiratory system,J95-J99,J95-J99: Other diseases of the respiratory system,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J954,1,J954,J954: Mendelson's syndrome,J95-J99,J95-J99: Other diseases of the respiratory system,J95-J99,J95-J99: Other diseases of the respiratory system,J95-J99,J95-J99: Other diseases of the respiratory system,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J955,29,J955,J955: Postprocedural subglottic stenosis,J95-J99,J95-J99: Other diseases of the respiratory system,J95-J99,J95-J99: Other diseases of the respiratory system,J95-J99,J95-J99: Other diseases of the respiratory system,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J958,318,J958,J958: Other postprocedural respiratory disorders,J95-J99,J95-J99: Other diseases of the respiratory system,J95-J99,J95-J99: Other diseases of the respiratory system,J95-J99,J95-J99: Other diseases of the respiratory system,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
H041,89,H041,H041: Other disorders of lacrimal gland,H00-H06,"H00-H06: Disorders of eyelid, lacrimal system and orbit",H00-H06,"H00-H06: Disorders of eyelid, lacrimal system and orbit",H00-H06,"H00-H06: Disorders of eyelid, lacrimal system and orbit",7,VII,VII: Diseases of the eye and adnexa,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
H042,21,H042,H042: Epiphora,H00-H06,"H00-H06: Disorders of eyelid, lacrimal system and orbit",H00-H06,"H00-H06: Disorders of eyelid, lacrimal system and orbit",H00-H06,"H00-H06: Disorders of eyelid, lacrimal system and orbit",7,VII,VII: Diseases of the eye and adnexa,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
H043,199,H043,H043: Acute and unspecified inflammation of lacrimal passages,H00-H06,"H00-H06: Disorders of eyelid, lacrimal system and orbit",H00-H06,"H00-H06: Disorders of eyelid, lacrimal system and orbit",H00-H06,"H00-H06: Disorders of eyelid, lacrimal system and orbit",7,VII,VII: Diseases of the eye and adnexa,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
H044,19,H044,H044: Chronic inflammation of lacrimal passages,H00-H06,"H00-H06: Disorders of eyelid, lacrimal system and orbit",H00-H06,"H00-H06: Disorders of eyelid, lacrimal system and orbit",H00-H06,"H00-H06: Disorders of eyelid, lacrimal system and orbit",7,VII,VII: Diseases of the eye and adnexa,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
H045,13,H045,H045: Stenosis and insufficiency of lacrimal passages,H00-H06,"H00-H06: Disorders of eyelid, lacrimal system and orbit",H00-H06,"H00-H06: Disorders of eyelid, lacrimal system and orbit",H00-H06,"H00-H06: Disorders of eyelid, lacrimal system and orbit",7,VII,VII: Diseases of the eye and adnexa,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
H046,1,H046,H046: Other changes in lacrimal passages,H00-H06,"H00-H06: Disorders of eyelid, lacrimal system and orbit",H00-H06,"H00-H06: Disorders of eyelid, lacrimal system and orbit",H00-H06,"H00-H06: Disorders of eyelid, lacrimal system and orbit",7,VII,VII: Diseases of the eye and adnexa,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
H048,7,H048,H048: Other disorders of lacrimal system,H00-H06,"H00-H06: Disorders of eyelid, lacrimal system and orbit",H00-H06,"H00-H06: Disorders of eyelid, lacrimal system and orbit",H00-H06,"H00-H06: Disorders of eyelid, lacrimal system and orbit",7,VII,VII: Diseases of the eye and adnexa,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
H049,1,H049,"H049: Disorder of lacrimal system, unspecified",H00-H06,"H00-H06: Disorders of eyelid, lacrimal system and orbit",H00-H06,"H00-H06: Disorders of eyelid, lacrimal system and orbit",H00-H06,"H00-H06: Disorders of eyelid, lacrimal system and orbit",7,VII,VII: Diseases of the eye and adnexa,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
H050,1414,H050,H050: Acute inflammation of orbit,H00-H06,"H00-H06: Disorders of eyelid, lacrimal system and orbit",H00-H06,"H00-H06: Disorders of eyelid, lacrimal system and orbit",H00-H06,"H00-H06: Disorders of eyelid, lacrimal system and orbit",7,VII,VII: Diseases of the eye and adnexa,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
H051,23,H051,H051: Chronic inflammatory disorders of orbit,H00-H06,"H00-H06: Disorders of eyelid, lacrimal system and orbit",H00-H06,"H00-H06: Disorders of eyelid, lacrimal system and orbit",H00-H06,"H00-H06: Disorders of eyelid, lacrimal system and orbit",7,VII,VII: Diseases of the eye and adnexa,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
D824,1,D824,D824: Hyperimmunoglobulin E [IgE] syndrome,D80-D89,D80-D89: Certain disorders involving the immune mechanism,D80-D89,D80-D89: Certain disorders involving the immune mechanism,D80-D89,D80-D89: Certain disorders involving the immune mechanism,3,III,III: Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
A812,44,A812,A812: Progressive multifocal leukoencephalopathy,A80-A89,A80-A89: Viral infections of the central nervous system,A80-A89,A80-A89: Viral infections of the central nervous system,A80-A89,A80-A89: Viral infections of the central nervous system,1,I,I: Certain infectious and parasitic diseases,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
B909,2,B909,B909: Sequelae of respiratory and unspecified tuberculosis,B90-B94,B90-B94: Sequelae of infectious and parasitic diseases,B90-B94,B90-B94: Sequelae of infectious and parasitic diseases,B90-B94,B90-B94: Sequelae of infectious and parasitic diseases,1,I,I: Certain infectious and parasitic diseases,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
B91X,4,B91X,B91X: Sequelae of poliomyelitis,B90-B94,B90-B94: Sequelae of infectious and parasitic diseases,B90-B94,B90-B94: Sequelae of infectious and parasitic diseases,B90-B94,B90-B94: Sequelae of infectious and parasitic diseases,1,I,I: Certain infectious and parasitic diseases,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
B948,3,B948,B948: Sequelae of other specified infectious and parasitic diseases,B90-B94,B90-B94: Sequelae of infectious and parasitic diseases,B90-B94,B90-B94: Sequelae of infectious and parasitic diseases,B90-B94,B90-B94: Sequelae of infectious and parasitic diseases,1,I,I: Certain infectious and parasitic diseases,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
B950,3,B950,"B950: Streptococcus, group A, as the cause of diseases classified to other chapters",B95-B98,"B95-B98: Bacterial, viral and other infectious agents",B95-B98,"B95-B98: Bacterial, viral and other infectious agents",B95-B98,"B95-B98: Bacterial, viral and other infectious agents",1,I,I: Certain infectious and parasitic diseases,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
B951,8,B951,"B951: Streptococcus, group B, as the cause of diseases classified to other chapters",B95-B98,"B95-B98: Bacterial, viral and other infectious agents",B95-B98,"B95-B98: Bacterial, viral and other infectious agents",B95-B98,"B95-B98: Bacterial, viral and other infectious agents",1,I,I: Certain infectious and parasitic diseases,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
B952,32,B952,"B952: Streptococcus, group D, as the cause of diseases classified to other chapters",B95-B98,"B95-B98: Bacterial, viral and other infectious agents",B95-B98,"B95-B98: Bacterial, viral and other infectious agents",B95-B98,"B95-B98: Bacterial, viral and other infectious agents",1,I,I: Certain infectious and parasitic diseases,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
B954,36,B954,B954: Other streptococcus as the cause of diseases classified to other chapters,B95-B98,"B95-B98: Bacterial, viral and other infectious agents",B95-B98,"B95-B98: Bacterial, viral and other infectious agents",B95-B98,"B95-B98: Bacterial, viral and other infectious agents",1,I,I: Certain infectious and parasitic diseases,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
G621,37,G621,G621: Alcoholic polyneuropathy,G60-G64,G60-G64: Polyneuropathies and other disorders of the peripheral nervous system,G60-G64,G60-G64: Polyneuropathies and other disorders of the peripheral nervous system,G60-G64,G60-G64: Polyneuropathies and other disorders of the peripheral nervous system,6,VI,VI: Diseases of the nervous system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
G622,9,G622,G622: Polyneuropathy due to other toxic agents,G60-G64,G60-G64: Polyneuropathies and other disorders of the peripheral nervous system,G60-G64,G60-G64: Polyneuropathies and other disorders of the peripheral nervous system,G60-G64,G60-G64: Polyneuropathies and other disorders of the peripheral nervous system,6,VI,VI: Diseases of the nervous system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
G628,380,G628,G628: Other specified polyneuropathies,G60-G64,G60-G64: Polyneuropathies and other disorders of the peripheral nervous system,G60-G64,G60-G64: Polyneuropathies and other disorders of the peripheral nervous system,G60-G64,G60-G64: Polyneuropathies and other disorders of the peripheral nervous system,6,VI,VI: Diseases of the nervous system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
G629,1968,G629,"G629: Polyneuropathy, unspecified",G60-G64,G60-G64: Polyneuropathies and other disorders of the peripheral nervous system,G60-G64,G60-G64: Polyneuropathies and other disorders of the peripheral nervous system,G60-G64,G60-G64: Polyneuropathies and other disorders of the peripheral nervous system,6,VI,VI: Diseases of the nervous system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
G630,15,G630,G630: Polyneuropathy in infectious and parasitic diseases classified elsewhere,G60-G64,G60-G64: Polyneuropathies and other disorders of the peripheral nervous system,G60-G64,G60-G64: Polyneuropathies and other disorders of the peripheral nervous system,G60-G64,G60-G64: Polyneuropathies and other disorders of the peripheral nervous system,6,VI,VI: Diseases of the nervous system,Asterisk,ICD10 5th Edition,Live,2016-04-01 00:00:00,
G631,17,G631,G631: Polyneuropathy in neoplastic disease,G60-G64,G60-G64: Polyneuropathies and other disorders of the peripheral nervous system,G60-G64,G60-G64: Polyneuropathies and other disorders of the peripheral nervous system,G60-G64,G60-G64: Polyneuropathies and other disorders of the peripheral nervous system,6,VI,VI: Diseases of the nervous system,Asterisk,ICD10 5th Edition,Live,2016-04-01 00:00:00,
G632,216,G632,G632: Diabetic polyneuropathy,G60-G64,G60-G64: Polyneuropathies and other disorders of the peripheral nervous system,G60-G64,G60-G64: Polyneuropathies and other disorders of the peripheral nervous system,G60-G64,G60-G64: Polyneuropathies and other disorders of the peripheral nervous system,6,VI,VI: Diseases of the nervous system,Asterisk,ICD10 5th Edition,Live,2016-04-01 00:00:00,
