Spell_Primary_Diagnosis,eol_broad_count,ICD10_L4_Code,ICD10_L4_Desc,ICD10_L3_Code,ICD10_L3_Desc,ICD10_L2_Code,ICD10_L2_Desc,ICD10_L1_Code,ICD10_L1_Desc,ICD10_Chapter_No,ICD10_Chapter_Code,ICD10_Chapter_Desc,ICD10_Usage,ICD10_Version,ICD10_Status,ICD10_Valid_From,ICD10_Valid_To
G910,123,G910,G910: Communicating hydrocephalus,G90-G99,G90-G99: Other disorders of the nervous system,G90-G99,G90-G99: Other disorders of the nervous system,G90-G99,G90-G99: Other disorders of the nervous system,6,VI,VI: Diseases of the nervous system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M7993,1,M7993,"M7993: Soft tissue disorder, unspecified: Forearm",M70-M79,M70-M79: Other soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M7994,3,M7994,"M7994: Soft tissue disorder, unspecified: Hand",M70-M79,M70-M79: Other soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M7995,27,M7995,"M7995: Soft tissue disorder, unspecified: Pelvic region and thigh",M70-M79,M70-M79: Other soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M7996,50,M7996,"M7996: Soft tissue disorder, unspecified: Lower leg",M70-M79,M70-M79: Other soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M7997,14,M7997,"M7997: Soft tissue disorder, unspecified: Ankle and foot",M70-M79,M70-M79: Other soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M7998,29,M7998,"M7998: Soft tissue disorder, unspecified: Other",M70-M79,M70-M79: Other soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M7999,6,M7999,"M7999: Soft tissue disorder, unspecified: Site unspecified",M70-M79,M70-M79: Other soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J860,779,J860,J860: Pyothorax with fistula,J85-J86,J85-J86: Suppurative and necrotic conditions of lower respiratory tract,J85-J86,J85-J86: Suppurative and necrotic conditions of lower respiratory tract,J85-J86,J85-J86: Suppurative and necrotic conditions of lower respiratory tract,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J869,4484,J869,J869: Pyothorax without fistula,J85-J86,J85-J86: Suppurative and necrotic conditions of lower respiratory tract,J85-J86,J85-J86: Suppurative and necrotic conditions of lower respiratory tract,J85-J86,J85-J86: Suppurative and necrotic conditions of lower respiratory tract,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J90X,62716,J90X,"J90X: Pleural effusion, not elsewhere classified",J90-J94,J90-J94: Other diseases of pleura,J90-J94,J90-J94: Other diseases of pleura,J90-J94,J90-J94: Other diseases of pleura,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
N839,231,N839,"N839: Noninflammatory disorder of ovary, fallopian tube and broad ligament, unspecified",N80-N98,N80-N98: Noninflammatory disorders of female genital tract,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,14,XIV,XIV: Diseases of the genitourinary system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
N840,665,N840,N840: Polyp of corpus uteri,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,14,XIV,XIV: Diseases of the genitourinary system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
N841,77,N841,N841: Polyp of cervix uteri,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,14,XIV,XIV: Diseases of the genitourinary system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
N842,7,N842,N842: Polyp of vagina,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,14,XIV,XIV: Diseases of the genitourinary system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
N843,4,N843,N843: Polyp of vulva,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,14,XIV,XIV: Diseases of the genitourinary system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
N850,85,N850,N850: Endometrial glandular hyperplasia,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,14,XIV,XIV: Diseases of the genitourinary system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
N851,11,N851,N851: Endometrial adenomatous hyperplasia,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,14,XIV,XIV: Diseases of the genitourinary system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
N852,28,N852,N852: Hypertrophy of uterus,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,14,XIV,XIV: Diseases of the genitourinary system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
N854,1,N854,N854: Malposition of uterus,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,14,XIV,XIV: Diseases of the genitourinary system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
N855,1,N855,N855: Inversion of uterus,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,14,XIV,XIV: Diseases of the genitourinary system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
G911,433,G911,G911: Obstructive hydrocephalus,G90-G99,G90-G99: Other disorders of the nervous system,G90-G99,G90-G99: Other disorders of the nervous system,G90-G99,G90-G99: Other disorders of the nervous system,6,VI,VI: Diseases of the nervous system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
G912,754,G912,G912: Normal-pressure hydrocephalus,G90-G99,G90-G99: Other disorders of the nervous system,G90-G99,G90-G99: Other disorders of the nervous system,G90-G99,G90-G99: Other disorders of the nervous system,6,VI,VI: Diseases of the nervous system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
G913,29,G913,"G913: Post-traumatic hydrocephalus, unspecified",G90-G99,G90-G99: Other disorders of the nervous system,G90-G99,G90-G99: Other disorders of the nervous system,G90-G99,G90-G99: Other disorders of the nervous system,6,VI,VI: Diseases of the nervous system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
G918,76,G918,G918: Other hydrocephalus,G90-G99,G90-G99: Other disorders of the nervous system,G90-G99,G90-G99: Other disorders of the nervous system,G90-G99,G90-G99: Other disorders of the nervous system,6,VI,VI: Diseases of the nervous system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
G919,714,G919,"G919: Hydrocephalus, unspecified",G90-G99,G90-G99: Other disorders of the nervous system,G90-G99,G90-G99: Other disorders of the nervous system,G90-G99,G90-G99: Other disorders of the nervous system,6,VI,VI: Diseases of the nervous system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
G92X,77,G92X,G92X: Toxic encephalopathy,G90-G99,G90-G99: Other disorders of the nervous system,G90-G99,G90-G99: Other disorders of the nervous system,G90-G99,G90-G99: Other disorders of the nervous system,6,VI,VI: Diseases of the nervous system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
G930,286,G930,G930: Cerebral cysts,G90-G99,G90-G99: Other disorders of the nervous system,G90-G99,G90-G99: Other disorders of the nervous system,G90-G99,G90-G99: Other disorders of the nervous system,6,VI,VI: Diseases of the nervous system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
G931,6299,G931,"G931: Anoxic brain damage, not elsewhere classified",G90-G99,G90-G99: Other disorders of the nervous system,G90-G99,G90-G99: Other disorders of the nervous system,G90-G99,G90-G99: Other disorders of the nervous system,6,VI,VI: Diseases of the nervous system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
G932,109,G932,G932: Benign intracranial hypertension,G90-G99,G90-G99: Other disorders of the nervous system,G90-G99,G90-G99: Other disorders of the nervous system,G90-G99,G90-G99: Other disorders of the nervous system,6,VI,VI: Diseases of the nervous system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
G933,43,G933,G933: Postviral fatigue syndrome,G90-G99,G90-G99: Other disorders of the nervous system,G90-G99,G90-G99: Other disorders of the nervous system,G90-G99,G90-G99: Other disorders of the nervous system,6,VI,VI: Diseases of the nervous system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
G934,1063,G934,"G934: Encephalopathy, unspecified",G90-G99,G90-G99: Other disorders of the nervous system,G90-G99,G90-G99: Other disorders of the nervous system,G90-G99,G90-G99: Other disorders of the nervous system,6,VI,VI: Diseases of the nervous system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J91X,1668,J91X,J91X: Pleural effusion in conditions classified elsewhere,J90-J94,J90-J94: Other diseases of pleura,J90-J94,J90-J94: Other diseases of pleura,J90-J94,J90-J94: Other diseases of pleura,10,X,X: Diseases of the respiratory system,Asterisk,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J920,281,J920,J920: Pleural plaque with presence of asbestos,J90-J94,J90-J94: Other diseases of pleura,J90-J94,J90-J94: Other diseases of pleura,J90-J94,J90-J94: Other diseases of pleura,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J929,360,J929,J929: Pleural plaque without asbestos,J90-J94,J90-J94: Other diseases of pleura,J90-J94,J90-J94: Other diseases of pleura,J90-J94,J90-J94: Other diseases of pleura,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J930,477,J930,J930: Spontaneous tension pneumothorax,J90-J94,J90-J94: Other diseases of pleura,J90-J94,J90-J94: Other diseases of pleura,J90-J94,J90-J94: Other diseases of pleura,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J931,1884,J931,J931: Other spontaneous pneumothorax,J90-J94,J90-J94: Other diseases of pleura,J90-J94,J90-J94: Other diseases of pleura,J90-J94,J90-J94: Other diseases of pleura,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J938,780,J938,J938: Other pneumothorax,J90-J94,J90-J94: Other diseases of pleura,J90-J94,J90-J94: Other diseases of pleura,J90-J94,J90-J94: Other diseases of pleura,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J939,3895,J939,"J939: Pneumothorax, unspecified",J90-J94,J90-J94: Other diseases of pleura,J90-J94,J90-J94: Other diseases of pleura,J90-J94,J90-J94: Other diseases of pleura,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J940,46,J940,J940: Chylous effusion,J90-J94,J90-J94: Other diseases of pleura,J90-J94,J90-J94: Other diseases of pleura,J90-J94,J90-J94: Other diseases of pleura,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J941,100,J941,J941: Fibrothorax,J90-J94,J90-J94: Other diseases of pleura,J90-J94,J90-J94: Other diseases of pleura,J90-J94,J90-J94: Other diseases of pleura,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J942,743,J942,J942: Haemothorax,J90-J94,J90-J94: Other diseases of pleura,J90-J94,J90-J94: Other diseases of pleura,J90-J94,J90-J94: Other diseases of pleura,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J948,1801,J948,J948: Other specified pleural conditions,J90-J94,J90-J94: Other diseases of pleura,J90-J94,J90-J94: Other diseases of pleura,J90-J94,J90-J94: Other diseases of pleura,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J949,98,J949,"J949: Pleural condition, unspecified",J90-J94,J90-J94: Other diseases of pleura,J90-J94,J90-J94: Other diseases of pleura,J90-J94,J90-J94: Other diseases of pleura,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
N856,3,N856,N856: Intrauterine synechiae,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,14,XIV,XIV: Diseases of the genitourinary system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
N857,13,N857,N857: Haematometra,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,14,XIV,XIV: Diseases of the genitourinary system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
N858,141,N858,N858: Other specified noninflammatory disorders of uterus,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,14,XIV,XIV: Diseases of the genitourinary system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
N859,86,N859,"N859: Noninflammatory disorder of uterus, unspecified",N80-N98,N80-N98: Noninflammatory disorders of female genital tract,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,14,XIV,XIV: Diseases of the genitourinary system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
N86X,5,N86X,N86X: Erosion and ectropion of cervix uteri,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,14,XIV,XIV: Diseases of the genitourinary system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
N870,15,N870,N870: Mild cervical dysplasia,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,14,XIV,XIV: Diseases of the genitourinary system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
N871,18,N871,N871: Moderate cervical dysplasia,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,14,XIV,XIV: Diseases of the genitourinary system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
N872,3,N872,"N872: Severe cervical dysplasia, not elsewhere classified",N80-N98,N80-N98: Noninflammatory disorders of female genital tract,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,14,XIV,XIV: Diseases of the genitourinary system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
N879,7,N879,"N879: Dysplasia of cervix uteri, unspecified",N80-N98,N80-N98: Noninflammatory disorders of female genital tract,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,14,XIV,XIV: Diseases of the genitourinary system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
N881,3,N881,N881: Old laceration of cervix uteri,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,14,XIV,XIV: Diseases of the genitourinary system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
N882,19,N882,N882: Stricture and stenosis of cervix uteri,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,14,XIV,XIV: Diseases of the genitourinary system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
N888,41,N888,N888: Other specified noninflammatory disorders of cervix uteri,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,14,XIV,XIV: Diseases of the genitourinary system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
N889,34,N889,"N889: Noninflammatory disorder of cervix uteri, unspecified",N80-N98,N80-N98: Noninflammatory disorders of female genital tract,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,14,XIV,XIV: Diseases of the genitourinary system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
N890,1,N890,N890: Mild vaginal dysplasia,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,14,XIV,XIV: Diseases of the genitourinary system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
N891,3,N891,N891: Moderate vaginal dysplasia,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,14,XIV,XIV: Diseases of the genitourinary system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
N892,2,N892,"N892: Severe vaginal dysplasia, not elsewhere classified",N80-N98,N80-N98: Noninflammatory disorders of female genital tract,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,14,XIV,XIV: Diseases of the genitourinary system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
N893,1,N893,"N893: Dysplasia of vagina, unspecified",N80-N98,N80-N98: Noninflammatory disorders of female genital tract,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,14,XIV,XIV: Diseases of the genitourinary system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
N895,18,N895,N895: Stricture and atresia of vagina,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,14,XIV,XIV: Diseases of the genitourinary system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
N896,3,N896,N896: Tight hymenal ring,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,14,XIV,XIV: Diseases of the genitourinary system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
N897,3,N897,N897: Haematocolpos,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,14,XIV,XIV: Diseases of the genitourinary system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
G935,60,G935,G935: Compression of brain,G90-G99,G90-G99: Other disorders of the nervous system,G90-G99,G90-G99: Other disorders of the nervous system,G90-G99,G90-G99: Other disorders of the nervous system,6,VI,VI: Diseases of the nervous system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
G936,654,G936,G936: Cerebral oedema,G90-G99,G90-G99: Other disorders of the nervous system,G90-G99,G90-G99: Other disorders of the nervous system,G90-G99,G90-G99: Other disorders of the nervous system,6,VI,VI: Diseases of the nervous system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
G938,1010,G938,G938: Other specified disorders of brain,G90-G99,G90-G99: Other disorders of the nervous system,G90-G99,G90-G99: Other disorders of the nervous system,G90-G99,G90-G99: Other disorders of the nervous system,6,VI,VI: Diseases of the nervous system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
G939,2996,G939,"G939: Disorder of brain, unspecified",G90-G99,G90-G99: Other disorders of the nervous system,G90-G99,G90-G99: Other disorders of the nervous system,G90-G99,G90-G99: Other disorders of the nervous system,6,VI,VI: Diseases of the nervous system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
G940,4,G940,G940: Hydrocephalus in infectious and parasitic diseases classified elsewhere,G90-G99,G90-G99: Other disorders of the nervous system,G90-G99,G90-G99: Other disorders of the nervous system,G90-G99,G90-G99: Other disorders of the nervous system,6,VI,VI: Diseases of the nervous system,Asterisk,ICD10 5th Edition,Live,2016-04-01 00:00:00,
F798,1,F798,F798: Unspecified mental retardation: Other impairments of behaviour,F70-F79,F70-F79: Mental retardation,F70-F79,F70-F79: Mental retardation,F70-F79,F70-F79: Mental retardation,5,V,V: Mental and behavioural disorders,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
F799,16,F799,F799: Unspecified mental retardation: Without mention of impairment of behaviour,F70-F79,F70-F79: Mental retardation,F70-F79,F70-F79: Mental retardation,F70-F79,F70-F79: Mental retardation,5,V,V: Mental and behavioural disorders,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
F800,1,F800,F800: Specific speech articulation disorder,F80-F89,F80-F89: Disorders of psychological development,F80-F89,F80-F89: Disorders of psychological development,F80-F89,F80-F89: Disorders of psychological development,5,V,V: Mental and behavioural disorders,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
F801,52,F801,F801: Expressive language disorder,F80-F89,F80-F89: Disorders of psychological development,F80-F89,F80-F89: Disorders of psychological development,F80-F89,F80-F89: Disorders of psychological development,5,V,V: Mental and behavioural disorders,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
F803,1,F803,F803: Acquired aphasia with epilepsy [Landau-Kleffner],F80-F89,F80-F89: Disorders of psychological development,F80-F89,F80-F89: Disorders of psychological development,F80-F89,F80-F89: Disorders of psychological development,5,V,V: Mental and behavioural disorders,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
F808,2,F808,F808: Other developmental disorders of speech and language,F80-F89,F80-F89: Disorders of psychological development,F80-F89,F80-F89: Disorders of psychological development,F80-F89,F80-F89: Disorders of psychological development,5,V,V: Mental and behavioural disorders,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J950,986,J950,J950: Tracheostomy malfunction,J95-J99,J95-J99: Other diseases of the respiratory system,J95-J99,J95-J99: Other diseases of the respiratory system,J95-J99,J95-J99: Other diseases of the respiratory system,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J951,3,J951,J951: Acute pulmonary insufficiency following thoracic surgery,J95-J99,J95-J99: Other diseases of the respiratory system,J95-J99,J95-J99: Other diseases of the respiratory system,J95-J99,J95-J99: Other diseases of the respiratory system,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J954,2,J954,J954: Mendelson's syndrome,J95-J99,J95-J99: Other diseases of the respiratory system,J95-J99,J95-J99: Other diseases of the respiratory system,J95-J99,J95-J99: Other diseases of the respiratory system,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J955,55,J955,J955: Postprocedural subglottic stenosis,J95-J99,J95-J99: Other diseases of the respiratory system,J95-J99,J95-J99: Other diseases of the respiratory system,J95-J99,J95-J99: Other diseases of the respiratory system,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J958,346,J958,J958: Other postprocedural respiratory disorders,J95-J99,J95-J99: Other diseases of the respiratory system,J95-J99,J95-J99: Other diseases of the respiratory system,J95-J99,J95-J99: Other diseases of the respiratory system,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J959,7,J959,"J959: Postprocedural respiratory disorder, unspecified",J95-J99,J95-J99: Other diseases of the respiratory system,J95-J99,J95-J99: Other diseases of the respiratory system,J95-J99,J95-J99: Other diseases of the respiratory system,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J960,312,J960,J960: Acute respiratory failure,J95-J99,J95-J99: Other diseases of the respiratory system,J95-J99,J95-J99: Other diseases of the respiratory system,J95-J99,J95-J99: Other diseases of the respiratory system,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
C040,674,C040,C040: Malignant neoplasm: Anterior floor of mouth,C00-C14,"C00-C14: Malignant neoplasms of lip, oral cavity and pharynx",C00-C75,"C00-C75: Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic and related tissue",C00-C97,C00-C97: Malignant neoplasms,2,II,II: Neoplasms,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
C041,166,C041,C041: Malignant neoplasm: Lateral floor of mouth,C00-C14,"C00-C14: Malignant neoplasms of lip, oral cavity and pharynx",C00-C75,"C00-C75: Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic and related tissue",C00-C97,C00-C97: Malignant neoplasms,2,II,II: Neoplasms,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
C048,77,C048,C048: Malignant neoplasm: Overlapping lesion of floor of mouth,C00-C14,"C00-C14: Malignant neoplasms of lip, oral cavity and pharynx",C00-C75,"C00-C75: Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic and related tissue",C00-C97,C00-C97: Malignant neoplasms,2,II,II: Neoplasms,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
N898,225,N898,N898: Other specified noninflammatory disorders of vagina,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,14,XIV,XIV: Diseases of the genitourinary system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
N899,44,N899,"N899: Noninflammatory disorder of vagina, unspecified",N80-N98,N80-N98: Noninflammatory disorders of female genital tract,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,N80-N98,N80-N98: Noninflammatory disorders of female genital tract,14,XIV,XIV: Diseases of the genitourinary system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
