Spell_Primary_Diagnosis,frail_count,ICD10_L4_Code,ICD10_L4_Desc,ICD10_L3_Code,ICD10_L3_Desc,ICD10_L2_Code,ICD10_L2_Desc,ICD10_L1_Code,ICD10_L1_Desc,ICD10_Chapter_No,ICD10_Chapter_Code,ICD10_Chapter_Desc,ICD10_Usage,ICD10_Version,ICD10_Status,ICD10_Valid_From,ICD10_Valid_To
A048,612,A048,A048: Other specified bacterial intestinal infections,A00-A09,A00-A09: Intestinal infectious diseases,A00-A09,A00-A09: Intestinal infectious diseases,A00-A09,A00-A09: Intestinal infectious diseases,1,I,I: Certain infectious and parasitic diseases,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
A049,230,A049,"A049: Bacterial intestinal infection, unspecified",A00-A09,A00-A09: Intestinal infectious diseases,A00-A09,A00-A09: Intestinal infectious diseases,A00-A09,A00-A09: Intestinal infectious diseases,1,I,I: Certain infectious and parasitic diseases,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
A090,14051,A090,A090: Other and unspecified gastroenteritis and colitis of infectious origin,A00-A09,A00-A09: Intestinal infectious diseases,A00-A09,A00-A09: Intestinal infectious diseases,A00-A09,A00-A09: Intestinal infectious diseases,1,I,I: Certain infectious and parasitic diseases,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
A099,135411,A099,A099: Gastroenteritis and colitis of unspecified origin,A00-A09,A00-A09: Intestinal infectious diseases,A00-A09,A00-A09: Intestinal infectious diseases,A00-A09,A00-A09: Intestinal infectious diseases,1,I,I: Certain infectious and parasitic diseases,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
A09X,1,A09X,A09X: Diarrhoea and gastroenteritis of presumed infectious origin,A00-A09,A00-A09: Intestinal infectious diseases,A00-A09,A00-A09: Intestinal infectious diseases,A00-A09,A00-A09: Intestinal infectious diseases,1,I,I: Certain infectious and parasitic diseases,Default,ICD-10 Reprinted (with corrections + updates) 2000,Deleted,2000-04-01 00:00:00,2012-03-31 00:00:00
H540,168,H540,"H540: Blindness, binocular",H53-H54,H53-H54: Visual disturbances and blindness,H53-H54,H53-H54: Visual disturbances and blindness,H53-H54,H53-H54: Visual disturbances and blindness,7,VII,VII: Diseases of the eye and adnexa,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
H541,27,H541,"H541: Severe visual impairment, binocular",H53-H54,H53-H54: Visual disturbances and blindness,H53-H54,H53-H54: Visual disturbances and blindness,H53-H54,H53-H54: Visual disturbances and blindness,7,VII,VII: Diseases of the eye and adnexa,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
H542,5,H542,"H542: Moderate visual impairment, binocular",H53-H54,H53-H54: Visual disturbances and blindness,H53-H54,H53-H54: Visual disturbances and blindness,H53-H54,H53-H54: Visual disturbances and blindness,7,VII,VII: Diseases of the eye and adnexa,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
H543,4,H543,"H543: Mild or no visual impairment, binocular",H53-H54,H53-H54: Visual disturbances and blindness,H53-H54,H53-H54: Visual disturbances and blindness,H53-H54,H53-H54: Visual disturbances and blindness,7,VII,VII: Diseases of the eye and adnexa,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
H544,226,H544,"H544: Blindness, monocular",H53-H54,H53-H54: Visual disturbances and blindness,H53-H54,H53-H54: Visual disturbances and blindness,H53-H54,H53-H54: Visual disturbances and blindness,7,VII,VII: Diseases of the eye and adnexa,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
H545,61,H545,"H545: Severe visual impairment, monocular",H53-H54,H53-H54: Visual disturbances and blindness,H53-H54,H53-H54: Visual disturbances and blindness,H53-H54,H53-H54: Visual disturbances and blindness,7,VII,VII: Diseases of the eye and adnexa,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
H546,21,H546,"H546: Moderate visual impairment, monocular",H53-H54,H53-H54: Visual disturbances and blindness,H53-H54,H53-H54: Visual disturbances and blindness,H53-H54,H53-H54: Visual disturbances and blindness,7,VII,VII: Diseases of the eye and adnexa,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
H549,457,H549,H549: Unspecified visual impairment (binocular),H53-H54,H53-H54: Visual disturbances and blindness,H53-H54,H53-H54: Visual disturbances and blindness,H53-H54,H53-H54: Visual disturbances and blindness,7,VII,VII: Diseases of the eye and adnexa,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M7937,1,M7937,"M7937: Panniculitis, unspecified: Ankle and foot",M70-M79,M70-M79: Other soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M7938,263,M7938,"M7938: Panniculitis, unspecified: Other",M70-M79,M70-M79: Other soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M7939,17,M7939,"M7939: Panniculitis, unspecified: Site unspecified",M70-M79,M70-M79: Other soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
E830,17,E830,E830: Disorders of copper metabolism,E70-E90,E70-E90: Metabolic disorders,E70-E90,E70-E90: Metabolic disorders,E70-E90,E70-E90: Metabolic disorders,4,IV,"IV: Endocrine, nutritional and metabolic diseases",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
E831,575,E831,E831: Disorders of iron metabolism,E70-E90,E70-E90: Metabolic disorders,E70-E90,E70-E90: Metabolic disorders,E70-E90,E70-E90: Metabolic disorders,4,IV,"IV: Endocrine, nutritional and metabolic diseases",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S069,93,S069,"S069: Intracranial injury, unspecified",S00-S09,S00-S09: Injuries to the head,S00-S09,S00-S09: Injuries to the head,S00-S09,S00-S09: Injuries to the head,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S0690,926,S0690,"S0690: Intracranial injury, unspecified: without open intracranial wound",S00-S09,S00-S09: Injuries to the head,S00-S09,S00-S09: Injuries to the head,S00-S09,S00-S09: Injuries to the head,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S0691,132,S0691,"S0691: Intracranial injury, unspecified: with open intracranial wound",S00-S09,S00-S09: Injuries to the head,S00-S09,S00-S09: Injuries to the head,S00-S09,S00-S09: Injuries to the head,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
R69X,1474,R69X,R69X: Unknown and unspecified causes of morbidity,R50-R69,R50-R69: General symptoms and signs,R50-R69,R50-R69: General symptoms and signs,R50-R69,R50-R69: General symptoms and signs,18,XVIII,"XVIII: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
R790,1134,R790,R790: Abnormal level of blood mineral,R70-R79,"R70-R79: Abnormal findings on examination of blood, without diagnosis",R70-R79,"R70-R79: Abnormal findings on examination of blood, without diagnosis",R70-R79,"R70-R79: Abnormal findings on examination of blood, without diagnosis",18,XVIII,"XVIII: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
R798,17138,R798,R798: Other specified abnormal findings of blood chemistry,R70-R79,"R70-R79: Abnormal findings on examination of blood, without diagnosis",R70-R79,"R70-R79: Abnormal findings on examination of blood, without diagnosis",R70-R79,"R70-R79: Abnormal findings on examination of blood, without diagnosis",18,XVIII,"XVIII: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
R799,6204,R799,"R799: Abnormal finding of blood chemistry, unspecified",R70-R79,"R70-R79: Abnormal findings on examination of blood, without diagnosis",R70-R79,"R70-R79: Abnormal findings on examination of blood, without diagnosis",R70-R79,"R70-R79: Abnormal findings on examination of blood, without diagnosis",18,XVIII,"XVIII: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M794,1,M794,M794: Hypertrophy of (infrapatellar) fat pad,M70-M79,M70-M79: Other soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M7942,1,M7942,M7942: Hypertrophy of (infrapatellar) fat pad: Upper arm,M70-M79,M70-M79: Other soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M7945,1,M7945,M7945: Hypertrophy of (infrapatellar) fat pad: Pelvic region and thigh,M70-M79,M70-M79: Other soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M7946,1,M7946,M7946: Hypertrophy of (infrapatellar) fat pad: Lower leg,M70-M79,M70-M79: Other soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M795,33,M795,M795: Residual foreign body in soft tissue,M70-M79,M70-M79: Other soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M7950,1,M7950,M7950: Residual foreign body in soft tissue: Multiple sites,M70-M79,M70-M79: Other soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M7951,3,M7951,M7951: Residual foreign body in soft tissue: Shoulder region,M70-M79,M70-M79: Other soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M7952,5,M7952,M7952: Residual foreign body in soft tissue: Upper arm,M70-M79,M70-M79: Other soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M7953,29,M7953,M7953: Residual foreign body in soft tissue: Forearm,M70-M79,M70-M79: Other soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M7954,160,M7954,M7954: Residual foreign body in soft tissue: Hand,M70-M79,M70-M79: Other soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M7955,15,M7955,M7955: Residual foreign body in soft tissue: Pelvic region and thigh,M70-M79,M70-M79: Other soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M7956,20,M7956,M7956: Residual foreign body in soft tissue: Lower leg,M70-M79,M70-M79: Other soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M7957,92,M7957,M7957: Residual foreign body in soft tissue: Ankle and foot,M70-M79,M70-M79: Other soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M7958,27,M7958,M7958: Residual foreign body in soft tissue: Other,M70-M79,M70-M79: Other soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M796,7161,M796,M796: Pain in limb,M70-M79,M70-M79: Other soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M7960,9113,M7960,M7960: Pain in limb: Multiple sites,M70-M79,M70-M79: Other soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M7961,1372,M7961,M7961: Pain in limb: Shoulder region,M70-M79,M70-M79: Other soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M7962,3673,M7962,M7962: Pain in limb: Upper arm,M70-M79,M70-M79: Other soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M7963,1393,M7963,M7963: Pain in limb: Forearm,M70-M79,M70-M79: Other soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M7964,1178,M7964,M7964: Pain in limb: Hand,M70-M79,M70-M79: Other soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M7965,10102,M7965,M7965: Pain in limb: Pelvic region and thigh,M70-M79,M70-M79: Other soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M7966,54272,M7966,M7966: Pain in limb: Lower leg,M70-M79,M70-M79: Other soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M7967,5734,M7967,M7967: Pain in limb: Ankle and foot,M70-M79,M70-M79: Other soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M7968,10,M7968,M7968: Pain in limb: Other,M70-M79,M70-M79: Other soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M7969,742,M7969,M7969: Pain in limb: Site unspecified,M70-M79,M70-M79: Other soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M797,376,M797,M797: Fibromyalgia,M70-M79,M70-M79: Other soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M7970,114,M7970,M7970: Fibromyalgia: Multiple sites,M70-M79,M70-M79: Other soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M7971,9,M7971,M7971: Fibromyalgia: Shoulder region,M70-M79,M70-M79: Other soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M7972,4,M7972,M7972: Fibromyalgia: Upper arm,M70-M79,M70-M79: Other soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M7973,2,M7973,M7973: Fibromyalgia: Forearm,M70-M79,M70-M79: Other soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M7974,1,M7974,M7974: Fibromyalgia: Hand,M70-M79,M70-M79: Other soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M7975,10,M7975,M7975: Fibromyalgia: Pelvic region and thigh,M70-M79,M70-M79: Other soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M7976,50,M7976,M7976: Fibromyalgia: Lower leg,M70-M79,M70-M79: Other soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M7977,2,M7977,M7977: Fibromyalgia: Ankle and foot,M70-M79,M70-M79: Other soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M7978,27,M7978,M7978: Fibromyalgia: Other,M70-M79,M70-M79: Other soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M7979,41,M7979,M7979: Fibromyalgia: Site unspecified,M70-M79,M70-M79: Other soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M798,14509,M798,M798: Other specified soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M7980,10339,M7980,M7980: Other specified soft tissue disorders: Multiple sites,M70-M79,M70-M79: Other soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M7981,222,M7981,M7981: Other specified soft tissue disorders: Shoulder region,M70-M79,M70-M79: Other soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M7982,2124,M7982,M7982: Other specified soft tissue disorders: Upper arm,M70-M79,M70-M79: Other soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M7983,1887,M7983,M7983: Other specified soft tissue disorders: Forearm,M70-M79,M70-M79: Other soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M7984,2346,M7984,M7984: Other specified soft tissue disorders: Hand,M70-M79,M70-M79: Other soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M7985,2783,M7985,M7985: Other specified soft tissue disorders: Pelvic region and thigh,M70-M79,M70-M79: Other soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M7986,101453,M7986,M7986: Other specified soft tissue disorders: Lower leg,M70-M79,M70-M79: Other soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M7987,5417,M7987,M7987: Other specified soft tissue disorders: Ankle and foot,M70-M79,M70-M79: Other soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M7988,770,M7988,M7988: Other specified soft tissue disorders: Other,M70-M79,M70-M79: Other soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M7989,1434,M7989,M7989: Other specified soft tissue disorders: Site unspecified,M70-M79,M70-M79: Other soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M799,86,M799,"M799: Soft tissue disorder, unspecified",M70-M79,M70-M79: Other soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M7990,44,M7990,"M7990: Soft tissue disorder, unspecified: Multiple sites",M70-M79,M70-M79: Other soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M7991,24,M7991,"M7991: Soft tissue disorder, unspecified: Shoulder region",M70-M79,M70-M79: Other soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M7992,16,M7992,"M7992: Soft tissue disorder, unspecified: Upper arm",M70-M79,M70-M79: Other soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M7993,17,M7993,"M7993: Soft tissue disorder, unspecified: Forearm",M70-M79,M70-M79: Other soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M7994,7,M7994,"M7994: Soft tissue disorder, unspecified: Hand",M70-M79,M70-M79: Other soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M7995,93,M7995,"M7995: Soft tissue disorder, unspecified: Pelvic region and thigh",M70-M79,M70-M79: Other soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M7996,407,M7996,"M7996: Soft tissue disorder, unspecified: Lower leg",M70-M79,M70-M79: Other soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M7997,66,M7997,"M7997: Soft tissue disorder, unspecified: Ankle and foot",M70-M79,M70-M79: Other soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M7998,75,M7998,"M7998: Soft tissue disorder, unspecified: Other",M70-M79,M70-M79: Other soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M7999,17,M7999,"M7999: Soft tissue disorder, unspecified: Site unspecified",M70-M79,M70-M79: Other soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J960,404,J960,J960: Acute respiratory failure,J95-J99,J95-J99: Other diseases of the respiratory system,J95-J99,J95-J99: Other diseases of the respiratory system,J95-J99,J95-J99: Other diseases of the respiratory system,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S720,4728,S720,S720: Fracture of neck of femur,S70-S79,S70-S79: Injuries to the hip and thigh,S70-S79,S70-S79: Injuries to the hip and thigh,S70-S79,S70-S79: Injuries to the hip and thigh,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
